trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
961,11:09:00,11:09:00,36997,8,0,0,2.7513
961,11:12:00,11:12:00,36998,9,0,0,3.4326
961,11:15:00,11:15:00,37002,10,0,0,4.8544
961,11:16:00,11:16:00,37003,11,0,0,5.5023
961,11:18:00,11:18:00,37004,12,0,0,6.7125
961,11:20:00,11:20:00,37005,13,0,0,7.2748
961,11:22:00,11:22:00,38229,14,0,0,8.1350
961,11:25:00,11:25:00,42673,15,0,0,9.0369
962,11:15:00,11:15:00,39348,1,0,0,0.0000
962,11:18:00,11:18:00,37378,2,0,0,0.8826
962,11:20:00,11:20:00,37377,3,0,0,1.1756
962,11:22:00,11:22:00,37376,4,0,0,1.5225
962,11:24:00,11:24:00,36994,5,0,0,1.7716
962,11:26:00,11:26:00,36995,6,0,0,2.0661
962,11:28:00,11:28:00,36996,7,0,0,2.4739
962,11:29:00,11:29:00,36997,8,0,0,2.7513
962,11:32:00,11:32:00,36998,9,0,0,3.4326
962,11:35:00,11:35:00,37002,10,0,0,4.8544
962,11:36:00,11:36:00,37003,11,0,0,5.5023
962,11:38:00,11:38:00,37004,12,0,0,6.7125
962,11:40:00,11:40:00,37005,13,0,0,7.2748
962,11:42:00,11:42:00,38229,14,0,0,8.1350
962,11:45:00,11:45:00,42673,15,0,0,9.0369
963,11:35:00,11:35:00,39348,1,0,0,0.0000
963,11:38:00,11:38:00,37378,2,0,0,0.8826
963,11:40:00,11:40:00,37377,3,0,0,1.1756
963,11:42:00,11:42:00,37376,4,0,0,1.5225
963,11:44:00,11:44:00,36994,5,0,0,1.7716
963,11:46:00,11:46:00,36995,6,0,0,2.0661
963,11:48:00,11:48:00,36996,7,0,0,2.4739
963,11:49:00,11:49:00,36997,8,0,0,2.7513
963,11:52:00,11:52:00,36998,9,0,0,3.4326
963,11:55:00,11:55:00,37002,10,0,0,4.8544
963,11:56:00,11:56:00,37003,11,0,0,5.5023
963,11:58:00,11:58:00,37004,12,0,0,6.7125
963,12:00:00,12:00:00,37005,13,0,0,7.2748
963,12:02:00,12:02:00,38229,14,0,0,8.1350
963,12:05:00,12:05:00,42673,15,0,0,9.0369
964,11:55:00,11:55:00,39348,1,0,0,0.0000
964,11:58:00,11:58:00,37378,2,0,0,0.8826
964,12:00:00,12:00:00,37377,3,0,0,1.1756
964,12:02:00,12:02:00,37376,4,0,0,1.5225
964,12:04:00,12:04:00,36994,5,0,0,1.7716
964,12:06:00,12:06:00,36995,6,0,0,2.0661
964,12:08:00,12:08:00,36996,7,0,0,2.4739
964,12:09:00,12:09:00,36997,8,0,0,2.7513
964,12:12:00,12:12:00,36998,9,0,0,3.4326
964,12:15:00,12:15:00,37002,10,0,0,4.8544
964,12:16:00,12:16:00,37003,11,0,0,5.5023
964,12:18:00,12:18:00,37004,12,0,0,6.7125
964,12:20:00,12:20:00,37005,13,0,0,7.2748
964,12:22:00,12:22:00,38229,14,0,0,8.1350
964,12:25:00,12:25:00,42673,15,0,0,9.0369
965,12:15:00,12:15:00,39348,1,0,0,0.0000
965,12:18:00,12:18:00,37378,2,0,0,0.8826
965,12:20:00,12:20:00,37377,3,0,0,1.1756
965,12:22:00,12:22:00,37376,4,0,0,1.5225
965,12:24:00,12:24:00,36994,5,0,0,1.7716
965,12:26:00,12:26:00,36995,6,0,0,2.0661
965,12:28:00,12:28:00,36996,7,0,0,2.4739
965,12:29:00,12:29:00,36997,8,0,0,2.7513
965,12:32:00,12:32:00,36998,9,0,0,3.4326
965,12:35:00,12:35:00,37002,10,0,0,4.8544
965,12:36:00,12:36:00,37003,11,0,0,5.5023
965,12:38:00,12:38:00,37004,12,0,0,6.7125
965,12:40:00,12:40:00,37005,13,0,0,7.2748
965,12:42:00,12:42:00,38229,14,0,0,8.1350
965,12:45:00,12:45:00,42673,15,0,0,9.0369
966,12:35:00,12:35:00,39348,1,0,0,0.0000
966,12:38:00,12:38:00,37378,2,0,0,0.8826
966,12:40:00,12:40:00,37377,3,0,0,1.1756
966,12:42:00,12:42:00,37376,4,0,0,1.5225
966,12:44:00,12:44:00,36994,5,0,0,1.7716
966,12:46:00,12:46:00,36995,6,0,0,2.0661
966,12:48:00,12:48:00,36996,7,0,0,2.4739
966,12:49:00,12:49:00,36997,8,0,0,2.7513
966,12:52:00,12:52:00,36998,9,0,0,3.4326
966,12:55:00,12:55:00,37002,10,0,0,4.8544
966,12:56:00,12:56:00,37003,11,0,0,5.5023
966,12:58:00,12:58:00,37004,12,0,0,6.7125
966,13:00:00,13:00:00,37005,13,0,0,7.2748
966,13:02:00,13:02:00,38229,14,0,0,8.1350
966,13:05:00,13:05:00,42673,15,0,0,9.0369
967,12:55:00,12:55:00,39348,1,0,0,0.0000
967,12:58:00,12:58:00,37378,2,0,0,0.8826
967,13:00:00,13:00:00,37377,3,0,0,1.1756
967,13:02:00,13:02:00,37376,4,0,0,1.5225
967,13:04:00,13:04:00,36994,5,0,0,1.7716
967,13:06:00,13:06:00,36995,6,0,0,2.0661
